,Week#,Date,Weekly_Sales,Holiday_Flag,Previous_Week_Sales,WoW_Changes
104,62,2011-04-15,999407.0,0.0,1019721.0,-1.99%
105,100,2012-01-06,999009.0,0.0,1023166.0,-2.36%
106,24,2010-07-23,997530.0,0.0,1027642.0,-2.93%
107,58,2011-03-18,997163.0,0.0,991718.0,0.55%
108,11,2010-04-23,994099.0,0.0,1004081.0,-0.99%
109,25,2010-07-30,991786.0,0.0,997530.0,-0.58%
110,57,2011-03-11,991718.0,0.0,1044013.0,-5.01%
111,88,2011-10-14,986107.0,0.0,1049149.0,-6.01%
112,137,2012-09-21,985657.0,0.0,982801.0,0.29%
113,136,2012-09-14,982801.0,0.0,1074001.0,-8.49%
114,7,2010-03-26,980755.0,0.0,999755.0,-1.90%
115,55,2011-02-25,980575.0,0.0,1082581.0,-9.42%
116,129,2012-07-27,979937.0,0.0,1023545.0,-4.26%
117,67,2011-05-20,978813.0,0.0,1009914.0,-3.08%
118,3,2010-02-26,977079.0,0.0,1072822.0,-8.92%
119,84,2011-09-16,973199.0,0.0,1039183.0,-6.35%
120,138,2012-09-28,971887.0,0.0,985657.0,-1.40%
121,116,2012-04-27,971484.0,0.0,1001612.0,-3.01%
122,12,2010-04-30,971225.0,0.0,994099.0,-2.30%
123,77,2011-07-29,970739.0,0.0,1006098.0,-3.51%
124,38,2010-10-29,968952.0,0.0,957037.0,1.24%
125,64,2011-04-29,967334.0,0.0,1081704.0,-10.57%
126,60,2011-04-01,965755.0,0.0,952804.0,1.36%
127,36,2010-10-15,958877.0,0.0,1002288.0,-4.33%
128,32,2010-09-17,957349.0,0.0,1014098.0,-5.60%
129,37,2010-10-22,957037.0,0.0,958877.0,-0.19%
130,59,2011-03-25,952804.0,0.0,997163.0,-4.45%
131,48,2011-01-07,950573.0,0.0,898500.0,5.80%
132,85,2011-09-23,949291.0,0.0,973199.0,-2.46%
133,34,2010-10-01,938664.0,0.0,919078.0,2.13%
134,86,2011-09-30,937685.0,0.0,949291.0,-1.22%
135,102,2012-01-20,935133.0,0.0,933846.0,0.14%
136,101,2012-01-13,933846.0,0.0,999009.0,-6.52%
137,33,2010-09-24,919078.0,0.0,957349.0,-4.00%
138,49,2011-01-14,903860.0,0.0,950573.0,-4.91%
139,50,2011-01-21,903437.0,0.0,903860.0,-0.05%
140,47,2010-12-31,898500.0,1.0,1798476.0,-50.04%
141,103,2012-01-27,885222.0,0.0,935133.0,-5.34%
142,51,2011-01-28,879997.0,0.0,903437.0,-2.59%
