,Date,Weekly_Sales,Weekly Sales Rate of Change
131,2012-08-10,1053410.0,-0.17360946588554915
132,2012-08-17,1052321.0,-0.10337855156111742
133,2012-08-24,1054385.0,0.19613787047867426
134,2012-08-31,1047992.0,-0.6063250141077448
135,2012-09-07,1074001.0,2.481793754150785
136,2012-09-14,982801.0,-8.491612205202792
137,2012-09-21,985657.0,0.2905979949145321
138,2012-09-28,971887.0,-1.3970377119018051
139,2012-10-05,1057036.0,8.761203720185584
140,2012-10-12,1025078.0,-3.023359658516833
141,2012-10-19,1002720.0,-2.1811023161164345
142,2012-10-26,1012091.0,0.9345580022339206
